,마라톤,year,기온,바람,습도,성별,금메달_기록,상위10위_평균_기록,상위500위_평균_기록
0,chicago,2010,18,7,61,men,126.0,133.0,173.0
1,chicago,2011,18,0,61,men,125.0,134.0,173.0
2,chicago,2012,6,17,56,men,124.0,129.0,171.0
3,chicago,2013,12,15,59,men,123.0,131.0,171.0
4,chicago,2014,17,7,93,men,124.0,131.0,169.0
5,chicago,2015,12,19,69,men,129.0,134.0,170.0
6,chicago,2016,12,13,72,men,131.0,136.0,171.0
7,chicago,2017,16,6,83,men,129.0,131.0,164.0
8,chicago,2018,15,17,90,men,125.0,126.0,159.0
9,chicago,2019,7,26,60,men,125.0,129.0,155.0
10,chicago,2010,18,7,61,women,143.0,151.0,205.0
11,chicago,2011,18,0,61,women,142.0,157.0,206.0
12,chicago,2012,6,17,56,women,142.0,156.0,202.0
13,chicago,2013,12,15,59,women,139.0,156.0,201.0
14,chicago,2014,17,7,93,women,145.0,155.0,197.0
15,chicago,2015,12,19,69,women,143.0,151.0,198.0
16,chicago,2016,12,13,72,women,141.0,153.0,199.0
17,chicago,2017,16,6,83,women,138.0,148.0,190.0
18,chicago,2018,15,17,90,women,138.0,148.0,186.0
19,chicago,2019,7,26,60,women,134.0,148.0,180.0
