,year,gender,ncompleted
0,1936,men,42
1,1928,men,57
2,1992,men,136
3,1896,men,9
4,1972,men,83
5,1904,men,14
6,1968,men,92
7,1908,men,34
8,1956,men,54
9,1924,men,30
10,1932,men,20
11,1920,men,35
12,1984,men,113
13,2008,men,125
14,2004,men,137
15,1964,men,86
16,2012,men,141
17,2016,men,174
18,1952,men,67
19,1900,men,7
20,2000,men,170
21,1976,men,67
22,1988,men,126
23,1948,men,44
24,1912,men,34
25,1996,men,207
26,2000,women,66
27,1988,women,78
28,2004,women,115
29,1992,women,44
30,1984,women,51
31,2008,women,111
32,2012,women,152
33,2016,women,175
34,1996,women,86
